Tag,Count
"('destination', 'Loyang Avenue;Pasir Ris Town;Changi Village')",4
"('name', 'Jurong West Avenue 1')",4
"('source', 'Yahoo Aerial Imagery')",4
"('turn:lanes', 'left;through|none|none|none')",4
"('addr:housenumber', '350')",4
"('addr:postcode', '399772')",4
"('addr:street', 'Guillemard Road')",4
"('name', 'Kong Hwa School')",4
"('name:zh', '光华学校')",4
"('school', 'primary')",4
"('wikidata', 'Q6429127')",4
"('wikimedia_commons', 'Category:Kong Hwa School')",4
"('wikipedia', 'en:Kong Hwa School')",4
"('name', 'Mountbatten Road')",4
"('name:zh', '蒙巴登路')",4
"('roof:colour', '#6a6d7b')",4
"('roof:material', 'glass')",4
"('air_conditioning', 'yes')",4
"('height', '5')",4
"('name', 'Kallang Wave Mall')",4
"('roof:colour', '#dadace')",4
"('wikidata', 'Q54321786')",4
"('wikipedia', 'en:Kallang Wave Mall')",4
"('min_height', '9')",4
"('name', 'Loyang Park Connector')",4
"('opening_date', '2028-06-30')",4
"('name', 'Pasir Ris Street 12')",4
"('name:zh', '宏茂桥5道')",4
"('name', 'Yishun Street 21')",4
"('name', 'Lorong Chencharu')",4
"('lane_markings', 'no')",4
"('sidewalk:left', 'no')",4
"('name:zh:signed', 'yes')",4
"('name:en:signed', 'yes')",4
"('name', 'Springleaf Road')",4
"('capacity', '54')",4
"('parking', 'street_side')",4
"('name', 'Lower Peirce Reservoir Park')",4
"('name:zh', '贝雅士下段蓄水池公园')",4
"('name', 'Serangoon North Avenue 1')",4
"('name', 'Ang Mo Kio Avenue 5')",4
"('name', 'Bartley Road')",4
"('name', 'Pasir Ris Street 11')",4
"('name:en', 'Bartley Road')",4
"('name:zh', '巴特里路')",4
"('name', 'Bidadari Park Drive')",4
"('turn:lanes', 'none|none|right')",4
"('name', 'Circuit Link')",4
"('name', 'Bedok Park Connector')",4
"('name:zh', '勿洛公园连道')",4
"('parking:condition:both:vehicles', 'motorcar')",4
"('name', 'Tampines Street 96')",4
"('roof:colour', '#eaf4f2')",4
"('change:lanes', 'no|yes|yes|yes')",4
"('name', 'Kandahar Street')",4
"('destination', 'Tampines Avenue 12')",4
"('name:zh', '淡滨尼96街')",4
"('turn:lanes', 'left|through;right|right')",4
"('button_operated', 'yes')",4
"('leisure', 'garden')",4
"('turn:lanes', 'left;through;right')",4
"('name', 'Lutheran Road')",4
"('ele', '94')",4
"('natural', 'peak')",4
"('maxspeed', '30')",4
"('name', 'Nanyang Circle')",4
"('bridge:name', 'University Flyover')",4
"('name', 'Taman Serasi')",4
"('turn:lanes', 'left|through|through|through|through')",4
"('name:zh', '裕廊西公园连道')",4
"('name', 'Empress Road')",4
"('name:zh', '启奥大道')",4
"('name', 'Jurong West Park Connector')",4
"('turn:lanes', 'left|through|through|through;right|right')",4
"('name', 'Margaret Drive')",4
"('name', 'Jurong Lake Link')",4
"('crossing:markings', 'dots')",4
"('name', 'Fusionopolis Way')",4
"('fixme', 'Ridley Pk or Loewen Rd?')",4
"('name', 'Leedon Park')",4
"('name', 'Geylang NPC Police Station')",3
"('name:zh', '实龙岗高架桥')",3
"('turn:lanes', 'none|through|through|through;right')",3
"('name', 'Serangoon Viaduct')",3
"('turn:lanes', 'left|left;through|through|through')",3
"('name', 'Toh Guan Road')",3
"('operator', 'Singapore Police Force')",3
"('name', 'Sheares carpark')",3
"('name', 'Pasir Ris Street 51')",3
"('name', 'Kampong Eunos')",3
"('turn:lanes', 'left;through|through|through|right|right')",3
"('turn:lanes', 'left;through|through|right|right')",3
"('name:zh', '薛尔思停车场')",3
"('name', 'Joo Chiat Road')",3
"('amenity', 'police')",3
"('name', 'Geylang Serai')",3
"('smoothness', 'intermediate')",3
"('sidewalk:right', 'yes')",3
"('highway', 'proposed')",3
"('name', 'Bah Soon Pah Road')",3
"('name:zh', '巴西立立交桥')",3
"('name', 'Lorong Sari')",3
"('name', 'Pasir Ris Flyover')",3
"('name:zh-Hant', '實乞納公園連道')",3
"('name:zh', '罗弄莎莉')",3
"('residential', 'HDB')",3
"('name', 'Hemmant Road')",3
"('bridge:name', 'Pasir Ris Flyover')",3
"('stroller', 'yes')",3
"('name', 'Jalan Belang')",3
"('name:zh-Hans', '实乞纳公园连道')",3
"('construction', 'primary_link')",3
"('maxspeed:conditional', '40 @ (Mo-Su 06:30-07:45, 12:00-14:30, 18:00-19:00; PH off; SH off)')",3
"('destination', 'City')",3
"('construction', 'trunk_link')",3
"('name:zh', '宏茂桥6道')",3
"('name', 'Simei Street 4')",3
"('turn:lanes', 'left;through|right')",3
"('check_date', '2021-09-05')",3
"('destination', 'Ang Mo Kio Avenue 3;Ang Mo Kio Avenue 1')",3
"('name', 'LOT 98897M MK 04')",3
"('note', 'Proposed Erection of a 2-Storey Envenlope Control Detached Dwelling House with an Attic, a Basement, and a Swimming Pool')",3
"('opening_date', '2023-06-31')",3
"('crossing:island', 'yes')",3
"('operator', 'Actus Builders PTE LTD')",3
"('destination', 'Ang Mo Kio Avenue 3')",3
"('fixme', 'road divided')",3
"('name', ""Saint Helier's Avenue"")",3
"('name', 'Loyang Rise')",3
"('destination:ref', 'AYE')",3
"('turn:lanes', 'left|through;right|right|right')",3
"('dog', 'yes')",3
"('name', 'New Upper Changi Road')",3
"('name:zh', '实乞纳公园连道')",3
"('abandoned:highway', 'unclassified')",3
